2001,The Hobbit,14.99,9780547928227,J.R.R. Tolkien,HMH Books,300
2002,Camino Winds,26.06,9780385545938,John Grisham,Doubleday Books,304
2003,Limitless,24.70,9781401958237,Jim Kwik,Hay House,344
2004,The Martian,15.64,9780553418026,Andy Weir,Ballantine Books,400
2005,Sapiens,22.49,9780062316110,Yuval Noah Harari,Harper Perennial,464
